Airline,Fatalities
Air Excel,0
 Doren Air Congo,0
Pinnacle Air Charter,0
MHS Aviation,0
Optimal Aviation Services,0
"ACT Airlines, opf Turkish Cargo",38
Zeliff Aviation,0
Alpine Aviation,0
KAAZ LLC,2
Alpine Aviation,0
private,2
Aer Caribe,0
Western Air,0
Líder Táxi Aéreo,0
Paranodon Fallschirmsport Illertissen,0
Botswana AF,3
North-Wright Airways,0
Unknown,0
Corporate and Leisure Charters,5
Flybe,0
"Citywing, opb Van Air Europe",0
Tatra Jet,0
SATA,0
Omni Air International,0
easyJet,0
Ameristar Jet Charter,0
Jetport Inc.,0
Osprey Wings,0
Makani Kai Air,0
Bahamasair,0
"Cargo North, opb Private Air",0
South Supreme Airlines,0
Western Air Express,0
Shelter Charter Services,1
Boulder Capital Inc.,0
ETA Air Charter,6
Taban Air,0
Peruvian Airlines,0
Transmandu,0
Eagle Air,0
Air Canada Jetz,0
Malaysia Airlines,0
Jet2,0
H&S Air LLC,0
 Spirit Avia Sentosa,1
Air Services Limited (ASL),0
Daily Air,0
IHC Health Services,0
Thai Smile,0
Freight Runners Express,0
"Aerogaviota, opf Cuban AF",8
Colombian Army,8
Grant Aviation,1
Air Cargo Carriers,2
Japan Ground Self-Defense Force,4
"A&C Big Sky Aviation LLC, opb Trans-Pacific Jets",2
Aerotransportes Huitzilin,2
Alaska Seaplanes,0
Perris Valley Aviation,0
Alaska Seaplanes,0
Summit Air,2
Trans Maldivian Airways,0
Nepal Army,1
Russian AF,1
Heidi Aviation,0
MAF,0
 Sriwijaya Air,0
Balai Kalibrasi Fasilitas Penerbangan,0
Aeronaves TSM,0
SibNIA,0
"Safari Express Airways, opf UN WFP",0
Myanmar Air Force,122
Malian Aéro Company,0
Delta Air Lines,0
Kharkiv Aeroclub,0
American Airlines,0
"SkyWest Airlines, opf American Eagle",0
Martinaire,0
SATA,9
USMC,16
Aero Baires,0
 Tri-MG Airlines,0
Air Creebec,0
Tailwind Air Service,0
 Enggang Air Service,0
Roraima Airways,1
Aviation Technical Center Virazh,0
Cavok Air,0
 Wings Air,0
Lion Air,0
Kapowsin Air Sports,0
LinkPNG,0
Honduras AF,1
Army Parachute Association,0
Aeroquest,5
Aviakompaniya Feniks,0
Coco Aviation,0
private,2
Polemaks,0
Aéreo Transporte La Montaña,0
Unknown,2
Air India Express,0
Unknown,1
Windward Express Airways,0
 Serve Air,0
Air Charter Express,0
Air Canada,0
United Airlines,0
Golden Wings Charter,0
"PSA Airlines, opf American Eagle",0
PSA Airlines,0
American Airlines,0
Westwind Air Service,0
Avione Jet,0
Hornbill Skyways,0
D.R. Congo AF,8
Air France,0
American Airlines,0
American Airlines,0
Private,0
East Wing,5
Afghan Air Force,0
Maldivian,0
Peruvian Navy,0
"Penial Air, opf Sigale Air",0
Guicango,7
Cebu Pacific Air,0
Valan Int'l Cargo,4
Exploits Valley Air Services,0
Greenpeace Brasil,1
Air Majoro,0
Transwest Air,0
Bering Air,0
Coastal Aviation,0
Eastern Air Services,0
Private Jets LLC,0
Tropic,0
WestJet,0
Perimeter Aviation,0
Alkan Air,0
DalTransAero,1
"Air Canada Express, opb Jazz Aviation",0
"Saudi Arabian, opb ACT Airlines",0
Khabarovsk Avia,6
Coastal Aviation,11
Maldivian,0
Tropic Air,0
Virgin Australia Airlines,0
US Navy,3
Starbow,0
private,0
Virgin Atlantic,0
EgyptAir,0
 Tara Air,0
Eva Air,0
American Airlines,0
American Airlines,0
Qatar Airways,0
Bayswater Road Ltd.,0
West Wind Aviation,1
Skytaxi Luftfahrt,3
Naryan-Mar Air Enterprise,4
North Coast Aviation,1
"Van E Aviation LLC, opb Integrated Flight Resources Inc.",0
Nature Air,12
